=========================================
AUTO-GENERATED SECURED LOGIN CREDENTIALS
=========================================

TEACHER ACCOUNTS (20 Total)
---------------------------
Username: teacher1 | Password: teacher123
Username: teacher2 | Password: teacher123
Username: teacher3 | Password: teacher123
Username: teacher4 | Password: teacher123
Username: teacher5 | Password: teacher123
Username: teacher6 | Password: teacher123
Username: teacher7 | Password: teacher123
Username: teacher8 | Password: teacher123
Username: teacher9 | Password: teacher123
Username: teacher10 | Password: teacher123
Username: teacher11 | Password: teacher123
Username: teacher12 | Password: teacher123
Username: teacher13 | Password: teacher123
Username: teacher14 | Password: teacher123
Username: teacher15 | Password: teacher123
Username: teacher16 | Password: teacher123
Username: teacher17 | Password: teacher123
Username: teacher18 | Password: teacher123
Username: teacher19 | Password: teacher123
Username: teacher20 | Password: teacher123

STUDENT ACCOUNTS (67 Total)
---------------------------
Username: student1 | Password: student123 | Barcode ID: STU101
Username: student2 | Password: student123 | Barcode ID: STU102
Username: student3 | Password: student123 | Barcode ID: STU103
Username: student4 | Password: student123 | Barcode ID: STU104
Username: student5 | Password: student123 | Barcode ID: STU105
Username: student6 | Password: student123 | Barcode ID: STU106
Username: student7 | Password: student123 | Barcode ID: STU107
Username: student8 | Password: student123 | Barcode ID: STU108
Username: student9 | Password: student123 | Barcode ID: STU109
Username: student10 | Password: student123 | Barcode ID: STU110
Username: student11 | Password: student123 | Barcode ID: STU111
Username: student12 | Password: student123 | Barcode ID: STU112
Username: student13 | Password: student123 | Barcode ID: STU113
Username: student14 | Password: student123 | Barcode ID: STU114
Username: student15 | Password: student123 | Barcode ID: STU115
Username: student16 | Password: student123 | Barcode ID: STU116
Username: student17 | Password: student123 | Barcode ID: STU117
Username: student18 | Password: student123 | Barcode ID: STU118
Username: student19 | Password: student123 | Barcode ID: STU119
Username: student20 | Password: student123 | Barcode ID: STU120
Username: student21 | Password: student123 | Barcode ID: STU121
Username: student22 | Password: student123 | Barcode ID: STU122
Username: student23 | Password: student123 | Barcode ID: STU123
Username: student24 | Password: student123 | Barcode ID: STU124
Username: student25 | Password: student123 | Barcode ID: STU125
Username: student26 | Password: student123 | Barcode ID: STU126
Username: student27 | Password: student123 | Barcode ID: STU127
Username: student28 | Password: student123 | Barcode ID: STU128
Username: student29 | Password: student123 | Barcode ID: STU129
Username: student30 | Password: student123 | Barcode ID: STU130
Username: student31 | Password: student123 | Barcode ID: STU131
Username: student32 | Password: student123 | Barcode ID: STU132
Username: student33 | Password: student123 | Barcode ID: STU133
Username: student34 | Password: student123 | Barcode ID: STU134
Username: student35 | Password: student123 | Barcode ID: STU135
Username: student36 | Password: student123 | Barcode ID: STU136
Username: student37 | Password: student123 | Barcode ID: STU137
Username: student38 | Password: student123 | Barcode ID: STU138
Username: student39 | Password: student123 | Barcode ID: STU139
Username: student40 | Password: student123 | Barcode ID: STU140
Username: student41 | Password: student123 | Barcode ID: STU141
Username: student42 | Password: student123 | Barcode ID: STU142
Username: student43 | Password: student123 | Barcode ID: STU143
Username: student44 | Password: student123 | Barcode ID: STU144
Username: student45 | Password: student123 | Barcode ID: STU145
Username: student46 | Password: student123 | Barcode ID: STU146
Username: student47 | Password: student123 | Barcode ID: STU147
Username: student48 | Password: student123 | Barcode ID: STU148
Username: student49 | Password: student123 | Barcode ID: STU149
Username: student50 | Password: student123 | Barcode ID: STU150
Username: student51 | Password: student123 | Barcode ID: STU151
Username: student52 | Password: student123 | Barcode ID: STU152
Username: student53 | Password: student123 | Barcode ID: STU153
Username: student54 | Password: student123 | Barcode ID: STU154
Username: student55 | Password: student123 | Barcode ID: STU155
Username: student56 | Password: student123 | Barcode ID: STU156
Username: student57 | Password: student123 | Barcode ID: STU157
Username: student58 | Password: student123 | Barcode ID: STU158
Username: student59 | Password: student123 | Barcode ID: STU159
Username: student60 | Password: student123 | Barcode ID: STU160
Username: student61 | Password: student123 | Barcode ID: STU161
Username: student62 | Password: student123 | Barcode ID: STU162
Username: student63 | Password: student123 | Barcode ID: STU163
Username: student64 | Password: student123 | Barcode ID: STU164
Username: student65 | Password: student123 | Barcode ID: STU165
Username: student66 | Password: student123 | Barcode ID: STU166
Username: student67 | Password: student123 | Barcode ID: STU167
